id,alias,name,review_count,rating,price,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.zip_code,location.country,location.display_address
8G4gQ3ynR79L3T6CCt-KUw,c-com-avant-lyon,C Com Avant,2,4.0,,45.742196693907,4.82202760000006,25 rue Casimir Périer,,,69002,FR,"['25 rue Casimir Périer', '69002 Lyon', 'France']"
31GCYg5G49047gbm1g3thg,le-globe-trotteur-lyon,Le Globe Trotteur,5,3.0,€€,45.76114,4.85903,1 place Charles Béraudier,,,69003,FR,"['1 place Charles Béraudier', '69003 Lyon', 'France']"
A7u7Zykgj5E9eHR3zwttCg,brasserie-jaurès-lyon-2,Brasserie Jaurès,19,3.5,€€,45.751834,4.845355,35 avenue Jean Jaurès,,,69007,FR,"['35 avenue Jean Jaurès', '69007 Lyon', 'France']"
wd7m8pTLc7pkEz8PTyv3-A,midi-minuit-lyon,Midi Minuit,28,3.5,€€,45.7426,4.82089,83 cours Charlemagne,,,69002,FR,"['83 cours Charlemagne', '69002 Lyon', 'France']"
Bhn97NHS2jiJgc-sw1KAdQ,au-bureau-lyon,Au Bureau,2,2.5,€€€,45.7295583926885,4.83048734343189,243 rue Marcel Mérieux,,,69007,FR,"['243 rue Marcel Mérieux', '69007 Lyon', 'France']"
8z9WEj8ZYOAMi1pUAbpueA,procold-lyon,Procold,0,0.0,,45.76233,4.85709,10 boulevard Marius Vivier Merle,,,69003,FR,"['10 boulevard Marius Vivier Merle', '69003 Lyon', 'France']"
n1Q5mv8juqxlQftBXc_FfQ,the-brew-brothers-lyon,The Brew Brothers,0,0.0,,45.76973,4.8568735,2 boulevard des Brotteaux,,,69006,FR,"['2 boulevard des Brotteaux', '69006 Lyon', 'France']"
s12KS4eXAhVFbMvT1sMAVg,les-facs-lyon-2,Les Fac's,1,2.0,€€,45.74949,4.83495,22 quai Claude Bernard,,,69007,FR,"['22 quai Claude Bernard', '69007 Lyon', 'France']"
2oEBTgS6BLW22o-b5QZlTw,le-caro-de-lyon-lyon,Le Caro de Lyon,48,3.5,€€€,45.7662199,4.8373,25 rue Bât d'Argent,,,69001,FR,"[""25 rue Bât d'Argent"", '69001 Lyon', 'France']"
YbPtMil6__VdtDrKHNBYtw,café-ampère-lyon-2e-arrondissement,Café Ampère,3,3.5,,45.7530742739174,4.82928523490304,45 rue Victor Hugo,,,69002,FR,"['45 rue Victor Hugo', '69002 Lyon-2E-Arrondissement', 'France']"
L-i4vQ4f1WiI7s3wTgl-sQ,l-office-café-lyon,L'Office Café,0,0.0,,45.7569346366442,4.85393274793783,1 rue Rize,,,69003,FR,"['1 rue Rize', '69003 Lyon', 'France']"
xtlTEoftXqy-roofO3X1OA,diplomatico-lyon,Diplomatico,21,2.5,€€€,45.7610245,4.8314681,1 quai des Celestins,,,69002,FR,"['1 quai des Celestins', '69002 Lyon', 'France']"
GWJ_-lWo9L7_ZB8Mmm2tww,le-cercle-du-6-lyon,Le Cercle du 6,1,3.0,,45.76654,4.8501,71 rue Bugeaud,,,69006,FR,"['71 rue Bugeaud', '69006 Lyon', 'France']"
1l0s4CjT177opPoIc0OgXQ,le-rocambole-lyon-2,Le Rocambole,19,3.5,€€,45.76447,4.82893,1 quai Romain Rolland,,,69005,FR,"['1 quai Romain Rolland', '69005 Lyon', 'France']"
kZCO3I0_XXO3DocPHRZxLQ,grand-café-de-la-soierie-lyon-2,Grand Café de la Soierie,14,3.0,€€,45.77494,4.82986,1 Place Tapis,,,69004,FR,"['1 Place Tapis', '69004 Lyon', 'France']"
IiDYu26mUbO7pCbJVwSUMw,le-blogg-lyon-2,Le Blogg,28,3.0,€€,45.738626,4.832763,14 rue Crépet,,,69007,FR,"['14 rue Crépet', '69007 Lyon', 'France']"
lDYFHdMSEUj3rWZVUwV59w,kfé-thiers-lyon-2,Kfé Thiers,2,3.5,€€,45.771379,4.861613,128 avenue Thiers,,,69006,FR,"['128 avenue Thiers', '69006 Lyon', 'France']"
PtpLaPtrXmGr5TifnAMYRQ,café-chantecler-lyon-2,Café Chantecler,50,3.0,€€,45.7745,4.82982,151 bd de la Croix Rousse,,,69004,FR,"['151 bd de la Croix Rousse', '69004 Lyon', 'France']"
yGi_Zgw-JhOGe4Y80W2wNg,la-calanque-lyon,La Calanque,1,4.0,,45.7434,4.82169,71 cours Charlemagne,,,69002,FR,"['71 cours Charlemagne', '69002 Lyon', 'France']"
TM2eC83X6KzDCJSaMQ6b5A,le-renouveau-lyon-2,Le Renouveau,1,5.0,,45.72728,4.83759,198 Rue De Gerland,,,69007,FR,"['198 Rue De Gerland', '69007 Lyon', 'France']"
UYFDx2bTyO3Le0rAZwIEUw,café-façade-lyon,Café Façade,2,3.0,€€,45.7623985,4.8328204,45 rue Mercière,,,69002,FR,"['45 rue Mercière', '69002 Lyon', 'France']"
x6QVeVpWxOZa6YR44LsLfg,halte-k-fé-lyon,Halte K'Fé,1,5.0,,45.74821,4.84368,59 ave Jean Jaurès,,,69007,FR,"['59 ave Jean Jaurès', '69007 Lyon', 'France']"
otlP07CMrcz_LSIHcH7iHw,café-de-la-cloche-lyon-3,Café de la Cloche,14,3.0,€€,45.7559801719449,4.8329332367706,4 rue de la Charité,,,69002,FR,"['4 rue de la Charité', '69002 Lyon', 'France']"
-4LKPPxTXIHiK6hPUkBhVA,lyon-plage-lyon-2,Lyon Plage,0,0.0,,45.78885,4.81969,85 quai Joseph Gillet,,,69004,FR,"['85 quai Joseph Gillet', '69004 Lyon', 'France']"
EvNpfxLFkR-mcBMdGz-7qw,brasserie-3-rivières-lyon-2,Brasserie 3 Rivières,19,2.5,€€€,45.767874088596,4.83400936137696,2 place des Terreaux,,,69001,FR,"['2 place des Terreaux', '69001 Lyon', 'France']"
Eng9PXDsO2ojWUIFmTgYQQ,café-perl-lyon-4,Café PERL,33,3.0,€€,45.7477113,4.8240999,2,place francisque Régaud,,69002,FR,"['2', 'place francisque Régaud', '69002 Lyon', 'France']"
m7fHJbqlv8ZZu4bIdmBdeQ,hôtel-kyriad-le-bistrot-d-auguste-lyon,Hôtel Kyriad - Le Bistrot d'Auguste,8,3.5,€€,45.7436099,4.82591,24 Quai Perrache,,,69002,FR,"['24 Quai Perrache', '69002 Lyon', 'France']"
1V_BgOmaBJC1sAsI6W9B1A,le-tramway-lyon,Le Tramway,13,3.0,€€,45.76114,4.85903,1 place Charles-Béraudier,,,69003,FR,"['1 place Charles-Béraudier', '69003 Lyon', 'France']"
MJQgathv-Geu19m4r_Se7A,l-estaminet-lyon,L'Estaminet,0,0.0,,45.7332993,4.8208799,Pont Pasteur,,,69007,FR,"['Pont Pasteur', '69007 Lyon', 'France']"
SdN1VCFeZXuvFSBpfHQ8sQ,brasserie-des-etats-unis-lyon,Brasserie des Etats-Unis,1,3.0,,45.72878,4.86698,3 Rue du Professeur Tavernier,,,69008,FR,"['3 Rue du Professeur Tavernier', '69008 Lyon', 'France']"
